dd,hh,mm,floor1_zon4_TSupAir_y,floor1_zon4_zon_PPD_y,floor1_zon4_zon_powPC_y,floor1_zon4_ZonCon_Damper_act_y,floor1_zon4_TSetRooHea_y,floor1_zon4_ZonCon_HeaCoi_act_y,floor1_zon4_zon_powMis_y,floor1_zon4_zon_PowLig_y,floor1_zon4_mSupAir_y,floor1_zon4_TSetRooCoo_y,floor1_zon4_TRooAir_y,floor1_zon4_OccSch_y,floor1_zon2_ZonCon_Damper_act_y,floor1_zon2_TSetRooCoo_y,floor1_zon2_zon_PowLig_y,floor1_zon2_TSupAir_y,floor1_zon2_TRooAir_y,floor1_zon2_mSupAir_y,floor1_zon2_ZonCon_HeaCoi_act_y,floor1_zon2_TSetRooHea_y,floor1_zon2_zon_powMis_y,floor1_zon2_OccSch_y,floor1_zon2_zon_powPC_y,floor1_zon2_zon_PPD_y,cmf_PC,cmf_Light,cmf_Misc
1,0,5,293.26551479929657,0.3898964175083347,0.0,1.0,288.71,0.0,0.0,0.0,2.34210957201633,0.0,293.043813410147,0.0,0.3,299.81,0.0,296.2218689821761,293.5664367280455,0.6852732861577757,0.0,288.71,0.0,0.0,0.0,0.31959541307424577,0.1010384087106459,0.548530183939597,0.45942706578798
1,0,10,296.14469097474165,0.32489137448606353,0.0,0.3,288.71,0.0,0.0,0.0,0.6794252227685146,295.15,293.52549243911693,0.0,0.3,299.81,0.0,295.8493248619533,293.8831779138188,0.6850702165655207,0.0,288.71,0.0,0.0,0.0,0.2800217880235413,0.6974941599755419,0.48514945016195027,0.1675070277955194
1,0,15,295.7779809545854,0.2874848477510421,0.0,0.3,288.71,0.0,0.0,0.0,0.6813714716525744,295.15,293.8218386935092,0.0,0.3,299.81,0.0,295.5218473964507,293.9870653402876,0.6850700724139486,0.0,288.71,0.0,0.0,0.0,0.2676128104021819,0.06836030927782942,0.8592696664136271,0.3882134304637447
1,0,20,295.45948315824677,0.27684269617890833,0.0,0.3,288.71,0.0,0.0,0.0,0.6813607252013741,295.15,293.9095607468728,0.0,0.3,299.81,2185.136037933419,295.2343746622723,294.55033700601115,0.6850700732099526,0.0,288.71,1748.1088303467354,1.0,437.02720758668386,0.205728742729117,0.06641259491613902,0.038296819346644535,0.506798851907677
1,0,25,295.1798316883227,0.28129470965911296,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608197475847,295.15,293.87265733508207,0.0,0.3,299.81,0.0,294.9819813555888,294.2887095571818,0.6850700732029521,0.0,288.71,0.0,0.0,0.0,0.23330319564551094,0.4014527043005572,0.38053969343763333,0.33394005113525943
1,0,30,294.9335117006773,0.2944441543848444,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180667359,295.15,293.76535767556567,0.0,0.3,299.81,0.0,294.7596704945921,294.03764041876457,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.26167921279076023,0.1489377631845199,0.01384281313893891,0.09859877440060867
1,0,35,294.71731970840585,0.31284070999218005,0.0,0.3,288.71,0.0,0.0,0.0,0.681360818083101,295.15,293.61911117717074,0.0,0.3,299.81,0.0,294.5645510171322,293.80272981158447,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.28983006263183464,0.6356274955418162,0.3653650442752462,0.03351194978516282
1,0,40,294.52753705947714,0.3340942873723516,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828286,295.15,293.4550440248611,0.0,0.3,299.81,0.0,294.3932667299269,293.5842481331418,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.31730393662327816,0.13114396302847647,0.14681097304606622,0.6252417428801952
1,0,45,294.3604895575326,0.35664802404815366,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828341,295.15,293.2858152923876,0.0,0.3,299.81,0.0,294.24250156534845,293.381527184928,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.3438166547004795,0.21963676912699726,0.5976642915769003,0.7194675251448474
1,0,50,294.2139332794764,0.37947138323063767,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828341,295.15,293.11884838102173,0.0,0.3,299.81,0.0,294.110230318404,293.19432190454575,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.369088268032879,0.8835588336279759,0.7198886517246259,0.13115949897470963
1,0,55,294.08512493023204,0.4018891561592951,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828341,295.15,292.9583334619574,0.0,0.3,299.81,0.0,293.99397708655766,293.0215854624001,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.39300336489685395,0.30867376311176603,0.6337402901617992,0.6952786497859211
1,1,0,293.9717806289589,0.4234818807522326,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828341,295.15,292.80641172662627,0.0,0.3,299.81,0.0,293.89168060180606,292.86228211749153,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.41550207277679985,0.05161167052537185,0.20448652878866797,0.048221539464533
1,1,5,293.8724237247247,0.44395148500701886,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828341,295.15,292.6643682596517,0.0,0.3,299.81,0.0,293.80200814430435,292.71584183564926,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.43650541005889376,0.008156466480208393,0.33849206444822355,0.10485731727150112
1,1,10,293.7854129044556,0.46314416218525656,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828341,295.15,292.53257875514805,0.0,0.3,299.81,0.0,293.72347838189984,292.581382406453,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.4560168668326462,0.4024338013743657,0.3992240419948428,0.1907968812064404
1,1,15,293.7092349425632,0.48100510970769905,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828341,295.15,292.41087251502836,0.0,0.3,299.81,0.0,293.65472558507093,292.4579666414677,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.47408039061762575,0.774784075047736,0.3131577998918597,0.6025616409942173
1,1,20,293.6423261160626,0.4975789731578145,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828341,295.15,292.298535945474,0.0,0.3,299.81,0.0,293.59433844894676,292.3444231510006,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.49080042374780886,0.1835480181503539,0.4319309526586248,0.9001917313456678
1,1,25,293.58342070895793,0.5129337469882156,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828341,295.15,292.19481370389246,0.0,0.3,299.81,0.0,293.54117462851656,292.23974187640573,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.5062779879408945,0.8636804021255604,0.34410260374010115,0.6471254340654196
